Feature,Importance
CoreHealthIndex,0.24556255896154242
TotalFlightHours,0.15501757881060918
AvgSeverity,0.08842569388228336
AvgTurbulence,0.08308149703023485
FlightCount,0.0690737828693611
AvgStability,0.06269529364179226
TotalFailures,0.05458754510260107
TotalDowntime,0.049307544638167666
AvgEnergy,0.0446386223309727
AvgRepairCost,0.040566025029484004
AvgAltitude,0.02634599019550359
MaxTemp,0.025988265400794294
AvgVelocity,0.025629484111562698
ModelEncoded,0.01506013989814121
MaxVelocity,0.009791701228001668
MaxAltitude,0.004228276868947928
MaxSeverity,0.0
